iso3c,year,Total_Access,Urban_Access,Rural_Access,Country Name,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),total_building_stock_m2,Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
TUV,2041,92.21655932,100,50.39406751,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2042,93.20607511,100,50.93332194,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2043,94.20620875,100,51.4783468,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2044,95.21707417,100,52.02920383,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2045,96.23878653,100,52.58595545,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2046,97.27146222,100,53.14866472,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2047,98.31521887,100,53.71739542,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2048,99.3701754,100,54.29221195,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2049,100,100,54.87317946,NA,NA,NA,NA,NA,NA,NA,NA
TUV,2050,100,100,55.46036376,NA,NA,NA,NA,NA,NA,NA,NA
TZA,2020,6.2,15.1,1.4,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,65338995.99958764,1256000,2100000,400000
TZA,2021,6.267636769,15.26915319,1.415021355,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,68876229.69841067,1323995.6197329657,2213686.9438210414,421654.6559659127
TZA,2022,6.336011399,15.44020127,1.430203883,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,72604957.3442813,1395672.2938471972,2333528.5167827336,444481.6222443303
TZA,2023,6.405131937,15.61316547,1.445549312,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,76535545.77605675,1471229.3022582405,2459857.9098266754,468544.36377650965
TZA,2024,6.475006523,15.78806724,1.461059391,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,80678923.05841641,1550876.71322667,2593026.351732489,493909.78128237894
TZA,2025,6.545643381,15.9649283,1.476735886,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,85046608.86474228,1634835.9674028424,2733404.085625771,520648.3972620517
TZA,2026,6.617050828,16.14377059,1.492580582,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,90109490.01265791,1732158.839058571,2896125.44747054,551642.9423753411
TZA,2027,6.68923727,16.32461631,1.508595284,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,95473767.84011298,1835275.4059449995,3068533.7201309702,584482.6133582802
TZA,2028,6.762211205,16.5074879,1.524781817,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,101157384.69174942,1944530.5705897154,3251205.571845861,619277.2517801641
TZA,2029,6.835981224,16.69240805,1.541142024,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,107179351.03191033,2060289.7677969977,3444752.0002975278,656143.2381519101
TZA,2030,6.910556012,16.87939971,1.557677769,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,113559809.03051548,2182940.1869478924,3649820.3762663803,695203.8811935963
TZA,2031,6.985944348,17.0684861,1.574390934,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,120348940.52760193,2313446.4647057327,3868023.5476767817,736766.3900336728
TZA,2032,7.062155107,17.25969066,1.591283424,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,127543957.75907128,2451755.0123727727,4099271.9155914187,780813.6982078893
TZA,2033,7.139197261,17.45303714,1.608357162,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,135169126.45456007,2598332.2857914576,4344345.382294634,827494.3585323113
TZA,2034,7.21707988,17.64854952,1.625614094,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,143250163.06144378,2753672.627695548,4604070.476242555,876965.8049985821
TZA,2035,7.295812133,17.84625207,1.643056185,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,151814321.47546393,2918299.934917673,4879323.13959165,929394.883731743
TZA,2036,7.375403288,18.04616932,1.660685422,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,160802970.64185056,3091087.153029394,5168218.96605233,984422.6602004439
TZA,2037,7.455862715,18.24832609,1.678503812,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,170323821.33607164,3274104.7872767453,5474219.787644239,1042708.5309798551
TZA,2038,7.537199887,18.45274745,1.696513385,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,180408384.2402091,3467958.5619456517,5798338.359940978,1104445.4018935196
TZA,2039,7.619424379,18.65945879,1.714716192,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,191090035.72637668,3673290.0651525753,6141647.401927075,1169837.600367062
TZA,2040,7.702545871,18.86848574,1.733114308,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,202404128.32082477,3890778.872276524,6505283.146322213,1239101.5516804217
TZA,2041,7.786574148,19.07985426,1.751709826,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,214083943.90355745,4115297.907922631,6880673.253692296,1310604.4292747232
TZA,2042,7.871519103,19.29359057,1.770504866,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,226437748.17010993,4352772.909204987,7277725.405517891,1386233.4105748364
TZA,2043,7.957390735,19.5097212,1.789501568,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,239504433.9217169,4603951.505584428,7697689.619209632,1466226.5941351682
TZA,2044,8.044199154,19.72827296,1.808702096,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,253325138.2851102,4869624.46879512,8141888.044959993,1550835.8180876179
TZA,2045,8.131954581,19.94927298,1.828108637,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,267943372.22226804,5150628.202387631,8611719.128195878,1640327.4529896914
TZA,2046,8.220667344,20.17274869,1.847723401,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,282847469.1492003,5437127.029831277,9090737.868348472,1731569.1177806614
TZA,2047,8.31034789,20.39872782,1.867548623,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,298580592.3863004,5739562.083867344,9596401.57334508,1827886.0139704917
TZA,2048,8.401006774,20.62723842,1.88758656,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,315188855.73880756,6058819.802043496,10130192.344181001,1929560.4465106672
TZA,2049,8.49265467,20.85830883,1.907839494,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,332720938.0488085,6395835.92915846,10693674.72231908,2036890.4232988725
TZA,2050,8.585302367,21.09196774,1.928309734,Tanzania,0.019222823687219295,0.03214007145156092,0.00612191837172589,351228225.87298983,6751598.2599313175,11288500.275362872,2150190.5286405473
UGA,2020,0.7,1.7,0.3,Uganda,NA,NA,NA,40692674.473511286,NA,NA,NA
UGA,2021,0.706769786,1.715894107,0.302972656,Uganda,NA,NA,NA,43226105.02133001,NA,NA,NA
UGA,2022,0.713605043,1.731936816,0.305974768,Uganda,NA,NA,NA,45917261.01786061,NA,NA,NA
UGA,2023,0.720506404,1.748129516,0.309006627,Uganda,NA,NA,NA,48775962.07990402,NA,NA,NA
UGA,2024,0.72747451,1.764473609,0.312068529,Uganda,NA,NA,NA,51812639.170590535,NA,NA,NA
UGA,2025,0.734510005,1.780970511,0.315160771,Uganda,NA,NA,NA,55038372.660369605,NA,NA,NA
UGA,2026,0.741613541,1.79762165,0.318283653,Uganda,NA,NA,NA,58803813.41110134,NA,NA,NA
UGA,2027,0.748785777,1.814428468,0.321437479,Uganda,NA,NA,NA,62826866.13983912,NA,NA,NA
UGA,2028,0.756027375,1.831392422,0.324622556,Uganda,NA,NA,NA,67125155.32552321,NA,NA,NA
UGA,2029,0.763339009,1.848514979,0.327839194,Uganda,NA,NA,NA,71717511.22277379,NA,NA,NA
UGA,2030,0.770721354,1.865797623,0.331087704,Uganda,NA,NA,NA,76624052.35482548,NA,NA,NA
UGA,2031,0.778175094,1.883241852,0.334368404,Uganda,NA,NA,NA,81421129.21842493,NA,NA,NA
UGA,2032,0.785700921,1.900849174,0.337681612,Uganda,NA,NA,NA,86518528.83614756,NA,NA,NA
UGA,2033,0.793299531,1.918621116,0.34102765,Uganda,NA,NA,NA,91935053.02401778,NA,NA,NA
UGA,2034,0.800971627,1.936559216,0.344406843,Uganda,NA,NA,NA,97690680.69263887,NA,NA,NA
UGA,2035,0.808717922,1.954665027,0.34781952,Uganda,NA,NA,NA,103806641.53963038,NA,NA,NA
UGA,2036,0.816539132,1.972940119,0.351266013,Uganda,NA,NA,NA,110002918.06511286,NA,NA,NA
UGA,2037,0.824435982,1.991386073,0.354746657,Uganda,NA,NA,NA,116569053.80394424,NA,NA,NA
UGA,2038,0.832409203,2.010004487,0.35826179,Uganda,NA,NA,NA,123527125.859549,NA,NA,NA
UGA,2039,0.840459535,2.028796974,0.361811754,Uganda,NA,NA,NA,130900529.13000956,NA,NA,NA
