"","Country Name","iso3c","Population","year","Average household size (number of members)","gdp_ppp","GDP","average_household_size","num_households","gdp_per_capita","avg_m2_capita","residential_building_stock_m2","total_building_stock_m2"
"3888","Portugal","PRT",10325158,2024,2.58,374.581792518885,374581792518.885,2.58,4001999.2248062,36278.5530757868,36.2785530757868,374581792.518884,749163585.037769
"3889","Portugal","PRT",10352260,2023,2.58,362.798125369327,362798125369.327,2.58,4012503.87596899,35045.3065677762,35.0453065677762,362798125.369327,725596250.738654
"3890","Portugal","PRT",10379007,2022,2.58,351.3851511212,351385151121.2,2.58,4022870.93023256,33855.3727848145,33.8553727848145,351385151.1212,702770302.242399
"3891","Portugal","PRT",9290360,2050,2.58,509.515267498,509515267498,2.58,3600914.72868217,54843.4363682355,54.8434363682355,509515267.498,1019030534.996
"3892","Portugal","PRT",9345950,2049,2.58,504.37682435702,504376824357.02,2.58,3622461.24031008,53967.4216486307,53.9674216486307,504376824.35702,1008753648.71404
"3893","Portugal","PRT",9399334,2048,2.58,499.290202230243,499290202230.243,2.58,3643152.71317829,53119.7425509342,53.1197425509342,499290202.230243,998580404.460485
"3894","Portugal","PRT",9451644,2047,2.58,494.254878504603,494254878504.603,2.58,3663427.90697674,52293.0062224734,52.2930062224734,494254878.504603,988509757.009207
"3895","Portugal","PRT",9502940,2046,2.58,489.270335837572,489270335837.572,2.58,3683310.07751938,51486.2069883186,51.4862069883186,489270335.837572,978540671.675144
"3896","Portugal","PRT",9552858,2045,2.58,484.336062104,484336062104,2.58,3702658.13953488,50700.6449906405,50.7006449906405,484336062.104,968672124.208
"3897","Portugal","PRT",9601722,2044,2.58,479.686162360104,479686162360.104,2.58,3721597.6744186,49958.3473006304,49.9583473006304,479686162.360104,959372324.720207
"3898","Portugal","PRT",9649170,2043,2.58,475.080904279961,475080904279.961,2.58,3739988.37209302,49235.4165467041,49.2354165467041,475080904.279961,950161808.559922
"3899","Portugal","PRT",9695079,2042,2.58,470.519859278387,470519859278.387,2.58,3757782.55813953,48531.8231319607,48.5318231319607,470519859.278387,941039718.556774
"3900","Portugal","PRT",9739237,2041,2.58,466.002602884856,466002602884.856,2.58,3774898.0620155,47847.9579955654,47.8479579955654,466002602.884856,932005205.769712
"3901","Portugal","PRT",9782139,2040,2.58,461.528714704,461528714704,2.58,3791526.74418605,47180.7561417804,47.1807561417804,461528714.704,923057429.408
"3902","Portugal","PRT",9823614,2039,2.58,456.89575957871,456895759578.71,2.58,3807602.3255814,46509.9462966186,46.5099462966186,456895759.57871,913791519.157421
"3903","Portugal","PRT",9863709,2038,2.58,452.309311360812,452309311360.812,2.58,3823143.02325581,45855.9058626742,45.8559058626742,452309311.360812,904618622.721624
"3904","Portugal","PRT",9902618,2037,2.58,447.768903200879,447768903200.879,2.58,3838224.03100775,45217.2246976385,45.2172246976385,447768903.200879,895537806.401758
"3905","Portugal","PRT",9940660,2036,2.58,443.274072935854,443274072935.854,2.58,3852968.99224806,44592.0163184189,44.5920163184189,443274072.935854,886548145.871708
"3906","Portugal","PRT",9977316,2035,2.58,438.824363042,438824363042,2.58,3867176.74418605,43982.2055392452,43.9822055392452,438824363.042,877648726.084
"3907","Puerto Rico","PRI",2669244,2050,2.67,99.548374133,99548374133,2.67,999716.853932584,37294.5950737362,37.2945950737362,99548374.133,199096748.266
"3908","Puerto Rico","PRI",2698087,2049,2.67,99.8075526030053,99807552603.0053,2.67,1010519.47565543,36991.9697189176,36.9919697189176,99807552.6030053,199615105.206011
"3909","Puerto Rico","PRI",2726525,2048,2.67,100.067405855295,100067405855.295,2.67,1021170.41198502,36701.4444596309,36.7014444596309,100067405.855295,200134811.71059
"3910","Puerto Rico","PRI",2754850,2047,2.67,100.327935646694,100327935646.694,2.67,1031779.02621723,36418.6564229247,36.4186564229247,100327935.646694,200655871.293388
"3911","Puerto Rico","PRI",2782973,2046,2.67,100.589143738601,100589143738.601,2.67,1042311.98501873,36144.4914264712,36.1444914264712,100589143.738601,201178287.477202
"3912","Puerto Rico","PRI",2810926,2045,2.67,100.851031897,100851031897,2.67,1052781.27340824,35878.223723072,35.878223723072,100851031.897,201702063.794
"3913","Puerto Rico","PRI",2838651,2044,2.67,101.207015350096,101207015350.096,2.67,1063165.16853933,35653.2082845324,35.6532082845324,101207015.350096,202414030.700193
"3914","Puerto Rico","PRI",2866131,2043,2.67,101.564255351752,101564255351.752,2.67,1073457.30337079,35436.0129916435,35.4360129916435,101564255.351752,203128510.703505
"3915","Puerto Rico","PRI",2893302,2042,2.67,101.922756337327,101922756337.327,2.67,1083633.70786517,35227.1405948383,35.2271405948383,101922756.337327,203845512.674653
"3916","Puerto Rico","PRI",2920084,2041,2.67,102.282522757834,102282522757.834,2.67,1093664.41947566,35027.253585114,35.027253585114,102282522.757834,204565045.515668
"3917","Puerto Rico","PRI",2946743,2040,2.67,102.64355908,102643559080,2.67,1103649.06367041,34832.8846730102,34.8328846730102,102643559.08,205287118.16
"3918","Puerto Rico","PRI",2973308,2039,2.67,103.034314337957,103034314337.957,2.67,1113598.50187266,34653.0915525593,34.6530915525593,103034314.337957,206068628.675914
"3919","Puerto Rico","PRI",2999935,2038,2.67,103.426557167789,103426557167.789,2.67,1123571.16104869,34476.2660416939,34.4762660416939,103426557.167789,206853114.335578
"3920","Puerto Rico","PRI",3026544,2037,2.67,103.820293232555,103820293232.555,2.67,1133537.07865169,34303.2492613869,34.3032492613869,103820293.232555,207640586.46511
"3921","Puerto Rico","PRI",3053217,2036,2.67,104.215528216872,104215528216.872,2.67,1143526.96629213,34133.023698241,34.133023698241,104215528.216872,208431056.433745
"3922","Puerto Rico","PRI",3079852,2035,2.67,104.612267827,104612267827,2.67,1153502.62172285,33966.6541856557,33.9666541856557,104612267.827,209224535.654
"3923","Puerto Rico","PRI",3106515,2034,2.67,104.879188247689,104879188247.689,2.67,1163488.76404494,33761.0435641511,33.7610435641511,104879188.247689,209758376.495378
"3924","Puerto Rico","PRI",3133090,2033,2.67,105.146789721494,105146789721.494,2.67,1173441.94756554,33560.0923438183,33.5600923438183,105146789.721494,210293579.442988
"3925","Puerto Rico","PRI",3159294,2032,2.67,105.415073986136,105415073986.136,2.67,1183256.17977528,33366.6553306328,33.3666553306328,105415073.986136,210830147.972272
"3926","Puerto Rico","PRI",3184552,2031,2.67,105.684042783771,105684042783.771,2.67,1192716.10486891,33186.4710589657,33.1864710589657,105684042.783771,211368085.567543
"3927","Puerto Rico","PRI",3206052,2030,2.67,105.953697861,105953697861,2.67,1200768.53932584,33048.0284976663,33.0480284976663,105953697.861,211907395.722
"3928","Puerto Rico","PRI",3221789,2022,2.67,106.946128150415,106946128150.415,2.67,1206662.54681648,33194.640664058,33.194640664058,106946128.150415,213892256.30083
"3929","Puerto Rico","PRI",3222242,2029,2.67,106.106825921,106106825921,2.67,1206832.20973783,32929.5024771572,32.9295024771572,106106825.921,212213651.842
"3930","Puerto Rico","PRI",3229412,2023,2.67,106.871217782594,106871217782.594,2.67,1209517.60299625,33093.0887054962,33.0930887054962,106871217.782594,213742435.565188
"3931","Puerto Rico","PRI",3232563,2028,2.67,106.260175287129,106260175287.129,2.67,1210697.75280899,32871.803360717,32.871803360717,106260175.287129,212520350.574259
"3932","Puerto Rico","PRI",3235429,2024,2.67,106.796359885707,106796359885.707,2.67,1211771.16104869,33008.4078141436,33.0084078141436,106796359.885707,213592719.771413
"3933","Puerto Rico","PRI",3237795,2027,2.67,106.413746279227,106413746279.227,2.67,1212657.30337079,32866.116069494,32.866116069494,106413746.279227,212827492.558455
"3934","Puerto Rico","PRI",3239101,2025,2.67,106.721554423,106721554423,2.67,1213146.44194757,32947.8933886285,32.9478933886285,106721554.423,213443108.846
"3935","Puerto Rico","PRI",3239942,2026,2.67,106.567539217596,106567539217.596,2.67,1213461.42322097,32891.8046118097,32.8918046118097,106567539.217596,213135078.435192
"3936","Puerto Rico","PRI",3262693,2021,2.67,107.021091025949,107021091025.949,2.67,1221982.39700375,32801.4591093764,32.8014591093764,107021091.025949,214042182.051897
"3937","Puerto Rico","PRI",3281557,2020,2.67,107.096106446,107096106446,2.67,1229047.56554307,32635.7599292043,32.6357599292043,107096106.446,214192212.892
"3938","Qatar","QAT",2688235,2021,4.67,263.030014580722,263030014580.722,4.67,575639.186295503,97844.8738970819,97.8448738970819,263030014.580722,526060029.161444
