Country,Year,Total_Access,Urban_Access,Rural_Access
ARE,2044,100,100,100
ARE,2045,100,100,100
ARE,2046,100,100,100
ARE,2047,100,100,100
ARE,2048,100,100,100
ARE,2049,100,100,100
ARE,2050,100,100,100
ARG,2020,99.9,99.9,97.5
ARG,2021,100,100,98.48110992
ARG,2022,100,100,99.47209243
ARG,2023,100,100,100
ARG,2024,100,100,100
ARG,2025,100,100,100
ARG,2026,100,100,100
ARG,2027,100,100,100
ARG,2028,100,100,100
ARG,2029,100,100,100
ARG,2030,100,100,100
ARG,2031,100,100,100
ARG,2032,100,100,100
ARG,2033,100,100,100
ARG,2034,100,100,100
ARG,2035,100,100,100
ARG,2036,100,100,100
ARG,2037,100,100,100
ARG,2038,100,100,100
ARG,2039,100,100,100
ARG,2040,100,100,100
ARG,2041,100,100,100
ARG,2042,100,100,100
ARG,2043,100,100,100
ARG,2044,100,100,100
ARG,2045,100,100,100
ARG,2046,100,100,100
ARG,2047,100,100,100
ARG,2048,100,100,100
ARG,2049,100,100,100
ARG,2050,100,100,100
ARM,2020,98.2,99.7,96.2
ARM,2021,99.18682241,100,97.19985831
ARM,2022,100,100,98.21010869
ARM,2023,100,100,99.23085914
ARM,2024,100,100,100
ARM,2025,100,100,100
ARM,2026,100,100,100
ARM,2027,100,100,100
ARM,2028,100,100,100
ARM,2029,100,100,100
ARM,2030,100,100,100
ARM,2031,100,100,100
ARM,2032,100,100,100
ARM,2033,100,100,100
ARM,2034,100,100,100
ARM,2035,100,100,100
ARM,2036,100,100,100
ARM,2037,100,100,100
ARM,2038,100,100,100
ARM,2039,100,100,100
ARM,2040,100,100,100
ARM,2041,100,100,100
ARM,2042,100,100,100
ARM,2043,100,100,100
ARM,2044,100,100,100
ARM,2045,100,100,100
ARM,2046,100,100,100
ARM,2047,100,100,100
ARM,2048,100,100,100
ARM,2049,100,100,100
ARM,2050,100,100,100
ATG,2020,100,100,100
ATG,2021,100,100,100
ATG,2022,100,100,100
ATG,2023,100,100,100
ATG,2024,100,100,100
ATG,2025,100,100,100
ATG,2026,100,100,100
ATG,2027,100,100,100
ATG,2028,100,100,100
ATG,2029,100,100,100
ATG,2030,100,100,100
ATG,2031,100,100,100
ATG,2032,100,100,100
ATG,2033,100,100,100
ATG,2034,100,100,100
ATG,2035,100,100,100
ATG,2036,100,100,100
ATG,2037,100,100,100
ATG,2038,100,100,100
ATG,2039,100,100,100
ATG,2040,100,100,100
ATG,2041,100,100,100
ATG,2042,100,100,100
ATG,2043,100,100,100
ATG,2044,100,100,100
ATG,2045,100,100,100
ATG,2046,100,100,100
ATG,2047,100,100,100
ATG,2048,100,100,100
ATG,2049,100,100,100
ATG,2050,100,100,100
AUS,2020,100,100,100
AUS,2021,100,100,100
AUS,2022,100,100,100
AUS,2023,100,100,100
AUS,2024,100,100,100
AUS,2025,100,100,100
AUS,2026,100,100,100
AUS,2027,100,100,100
AUS,2028,100,100,100
AUS,2029,100,100,100
AUS,2030,100,100,100
AUS,2031,100,100,100
AUS,2032,100,100,100
AUS,2033,100,100,100
AUS,2034,100,100,100
AUS,2035,100,100,100
AUS,2036,100,100,100
AUS,2037,100,100,100
AUS,2038,100,100,100
AUS,2039,100,100,100
AUS,2040,100,100,100
AUS,2041,100,100,100
AUS,2042,100,100,100
AUS,2043,100,100,100
AUS,2044,100,100,100
AUS,2045,100,100,100
AUS,2046,100,100,100
AUS,2047,100,100,100
AUS,2048,100,100,100
AUS,2049,100,100,100
AUS,2050,100,100,100
AUT,2020,100,100,100
AUT,2021,100,100,100
AUT,2022,100,100,100
AUT,2023,100,100,100
AUT,2024,100,100,100
AUT,2025,100,100,100
AUT,2026,100,100,100
AUT,2027,100,100,100
AUT,2028,100,100,100
AUT,2029,100,100,100
AUT,2030,100,100,100
AUT,2031,100,100,100
AUT,2032,100,100,100
AUT,2033,100,100,100
AUT,2034,100,100,100
AUT,2035,100,100,100
AUT,2036,100,100,100
AUT,2037,100,100,100
AUT,2038,100,100,100
AUT,2039,100,100,100
AUT,2040,100,100,100
AUT,2041,100,100,100
AUT,2042,100,100,100
AUT,2043,100,100,100
AUT,2044,100,100,100
AUT,2045,100,100,100
AUT,2046,100,100,100
AUT,2047,100,100,100
AUT,2048,100,100,100
AUT,2049,100,100,100
AUT,2050,100,100,100
AZE,2020,98.1,99.3,97.1
AZE,2021,99.0885731,100,98.13463828
AZE,2022,100,100,99.18030102
AZE,2023,100,100,100
AZE,2024,100,100,100
AZE,2025,100,100,100
AZE,2026,100,100,100
AZE,2027,100,100,100
AZE,2028,100,100,100
AZE,2029,100,100,100
AZE,2030,100,100,100
AZE,2031,100,100,100
AZE,2032,100,100,100
AZE,2033,100,100,100
AZE,2034,100,100,100
AZE,2035,100,100,100
AZE,2036,100,100,100
AZE,2037,100,100,100
AZE,2038,100,100,100
AZE,2039,100,100,100
AZE,2040,100,100,100
AZE,2041,100,100,100
AZE,2042,100,100,100
AZE,2043,100,100,100
AZE,2044,100,100,100
AZE,2045,100,100,100
AZE,2046,100,100,100
AZE,2047,100,100,100
AZE,2048,100,100,100
AZE,2049,100,100,100
AZE,2050,100,100,100
BDI,2020,0.2,0.2,0.1
BDI,2021,0.201911713,0.201802656,0.100968814
BDI,2022,0.203841699,0.203621559,0.101947014
BDI,2023,0.205790132,0.205456857,0.102934691
BDI,2024,0.20775719,0.207308697,0.103931937
BDI,2025,0.209743051,0.209177228,0.104938844
BDI,2026,0.211747893,0.211062601,0.105955507
BDI,2027,0.213771898,0.212964967,0.106982019
BDI,2028,0.215815251,0.214884479,0.108018475
BDI,2029,0.217878134,0.216821293,0.109064974
BDI,2030,0.219960736,0.218775564,0.11012161
BDI,2031,0.222063245,0.220747449,0.111188484
BDI,2032,0.224185851,0.222737107,0.112265694
BDI,2033,0.226328745,0.224744699,0.11335334
BDI,2034,0.228492123,0.226770385,0.114451523
BDI,2035,0.230676179,0.22881433,0.115560345
BDI,2036,0.232881112,0.230876697,0.11667991
BDI,2037,0.235107121,0.232957653,0.117810322
BDI,2038,0.237354407,0.235057366,0.118951685
BDI,2039,0.239623174,0.237176003,0.120104105
BDI,2040,0.241913628,0.239313737,0.121267691
BDI,2041,0.244225974,0.241470738,0.122442549
BDI,2042,0.246560424,0.243647181,0.12362879
BDI,2043,0.248917187,0.245843241,0.124826523
BDI,2044,0.251296478,0.248059095,0.12603586
BDI,2045,0.253698511,0.25029492,0.127256913
BDI,2046,0.256123504,0.252550898,0.128489796
BDI,2047,0.258571677,0.25482721,0.129734624
BDI,2048,0.261043251,0.257124039,0.130991511
BDI,2049,0.263538449,0.259441569,0.132260575
BDI,2050,0.266057498,0.261779988,0.133541934
BEL,2020,100,100,100
BEL,2021,100,100,100
BEL,2022,100,100,100
BEL,2023,100,100,100
BEL,2024,100,100,100
BEL,2025,100,100,100
BEL,2026,100,100,100
BEL,2027,100,100,100
BEL,2028,100,100,100
BEL,2029,100,100,100
BEL,2030,100,100,100
BEL,2031,100,100,100
BEL,2032,100,100,100
BEL,2033,100,100,100
BEL,2034,100,100,100
BEL,2035,100,100,100
BEL,2036,100,100,100
BEL,2037,100,100,100
BEL,2038,100,100,100
BEL,2039,100,100,100
BEL,2040,100,100,100
BEL,2041,100,100,100
BEL,2042,100,100,100
BEL,2043,100,100,100
BEL,2044,100,100,100
BEL,2045,100,100,100
BEL,2046,100,100,100
BEL,2047,100,100,100
BEL,2048,100,100,100
BEL,2049,100,100,100
BEL,2050,100,100,100
BEN,2020,4.7,8,1.3
BEN,2021,4.753106088,8.093004808,1.314090067
BEN,2022,4.80681223,8.187090853,1.328332849
BEN,2023,4.861125207,8.282270704,1.342730002
BEN,2024,4.916051875,8.378557079,1.357283199
BEN,2025,4.971599169,8.475962841,1.37199413
BEN,2026,5.027774102,8.574501003,1.386864506
BEN,2027,5.084583764,8.67418473,1.401896055
BEN,2028,5.142035328,8.775027341,1.417090524
BEN,2029,5.200136047,8.877042307,1.432449678
BEN,2030,5.258893256,8.980243259,1.447975302
BEN,2031,5.318314372,9.084643984,1.463669201
BEN,2032,5.378406897,9.19025843,1.479533199
BEN,2033,5.439178418,9.297100708,1.495569139
BEN,2034,5.500636607,9.405185091,1.511778884
BEN,2035,5.562789222,9.514526021,1.528164319
BEN,2036,5.625644109,9.625138104,1.544727348
BEN,2037,5.689209205,9.737036119,1.561469896
BEN,2038,5.753492533,9.850235016,1.578393907
BEN,2039,5.81850221,9.964749918,1.59550135
BEN,2040,5.884246441,10.08059612,1.612794212
BEN,2041,5.950733528,10.19778911,1.630274503
BEN,2042,6.017971863,10.31634454,1.647944255
BEN,2043,6.085969936,10.43627825,1.66580552
BEN,2044,6.15473633,10.55760625,1.683860375
BEN,2045,6.224279728,10.68034477,1.702110917
BEN,2046,6.294608907,10.8045102,1.720559269
BEN,2047,6.365732748,10.93011912,1.739207572
BEN,2048,6.43766023,11.05718833,1.758057996
BEN,2049,6.510400431,11.18573479,1.777112731
BEN,2050,6.583962537,11.31577567,1.79637399
BFA,2020,11.1,35.7,1
BFA,2021,11.21642922,36.07526753,1.010175449
BFA,2022,11.33407967,36.45447976,1.020454437
BFA,2023,11.45296418,36.83767816,1.030838019
BFA,2024,11.57309568,37.22490462,1.041327258
BFA,2025,11.69448725,37.61620148,1.05192323
BFA,2026,11.81715212,38.01161154,1.062627021
