"","iso3c","Country","year","km2"
"127","BHR","Bahrain",2000,137.1193203
"128","BHR","Bahrain",2010,147.4629493
"129","BHR","Bahrain",2020,159.6928314
"130","BHR","Bahrain",2030,172.6226443
"131","BHR","Bahrain",2040,186.742739
"132","BHR","Bahrain",2050,202.3926704
"133","BHS","Bahamas",2000,68.972075
"134","BHS","Bahamas",2010,77.04760587
"135","BHS","Bahamas",2020,85.40611059
"136","BHS","Bahamas",2030,94.04001632
"137","BHS","Bahamas",2040,103.1843103
"138","BHS","Bahamas",2050,112.9553368
"139","BIH","Bosnia-Herzegovina",2000,447.2464979
"140","BIH","Bosnia-Herzegovina",2010,520.252038
"141","BIH","Bosnia-Herzegovina",2020,600.5881103
"142","BIH","Bosnia-Herzegovina",2030,676.9541576
"143","BIH","Bosnia-Herzegovina",2040,777.3328603
"144","BIH","Bosnia-Herzegovina",2050,891.2713021
"145","BLR","Belarus",2000,979.8844152
"146","BLR","Belarus",2010,1084.775646
"147","BLR","Belarus",2020,1209.000549
"148","BLR","Belarus",2030,1347.391921
"149","BLR","Belarus",2040,1498.992499
"150","BLR","Belarus",2050,1664.62564
"151","BLZ","Belize",2000,22.71193785
"152","BLZ","Belize",2010,29.37864959
"153","BLZ","Belize",2020,36.3235416
"154","BLZ","Belize",2030,42.30558926
"155","BLZ","Belize",2040,48.40811729
"156","BLZ","Belize",2050,54.92828333
"157","BMU","Bermuda",2000,0.573063365
"158","BMU","Bermuda",2010,0.610220808
"159","BMU","Bermuda",2020,0.647716187
"160","BMU","Bermuda",2030,0.691423637
"161","BMU","Bermuda",2040,0.743371905
"162","BMU","Bermuda",2050,0.802234113
"163","BOL","Bolivia",2000,824.2914305
"164","BOL","Bolivia",2010,950.447869
"165","BOL","Bolivia",2020,1074.775319
"166","BOL","Bolivia",2030,1203.679613
"167","BOL","Bolivia",2040,1342.466949
"168","BOL","Bolivia",2050,1492.044808
"169","BRA","Brazil",2000,17766.42494
"170","BRA","Brazil",2010,19870.74754
"171","BRA","Brazil",2020,21836.1953
"172","BRA","Brazil",2030,23906.49628
"173","BRA","Brazil",2040,26169.98134
"174","BRA","Brazil",2050,28635.60116
"175","BRB","Barbados",2000,53.30844492
"176","BRB","Barbados",2010,67.92741015
"177","BRB","Barbados",2020,82.91182037
"178","BRB","Barbados",2030,97.37185217
"179","BRB","Barbados",2040,113.4372956
"180","BRB","Barbados",2050,131.0005087
"181","BRN","Brunei Darussalam",2000,132.6183505
"182","BRN","Brunei Darussalam",2010,151.2104482
"183","BRN","Brunei Darussalam",2020,169.7397093
"184","BRN","Brunei Darussalam",2030,189.1906571
"185","BRN","Brunei Darussalam",2040,209.8636911
"186","BRN","Brunei Darussalam",2050,231.8804676
"187","BTN","Bhutan",2000,2.4355809
"188","BTN","Bhutan",2010,3.88369598
"189","BTN","Bhutan",2020,5.377816291
"190","BTN","Bhutan",2030,6.762727676
"191","BTN","Bhutan",2040,8.076298288
"192","BTN","Bhutan",2050,9.311200896
"193","BWA","Botswana",2000,342.2141995
"194","BWA","Botswana",2010,411.1508344
"195","BWA","Botswana",2020,473.7447298
"196","BWA","Botswana",2030,538.9398372
"197","BWA","Botswana",2040,608.9522303
"198","BWA","Botswana",2050,683.9887174
"199","CAF","Central African Republic",2000,249.0546056
"200","CAF","Central African Republic",2010,332.4305901
"201","CAF","Central African Republic",2020,423.7982884
"202","CAF","Central African Republic",2030,518.4981029
"203","CAF","Central African Republic",2040,612.3926407
"204","CAF","Central African Republic",2050,700.4311995
"205","CAN","Canada",2000,9652.245024
"206","CAN","Canada",2010,10774.55064
"207","CAN","Canada",2020,11993.30811
"208","CAN","Canada",2030,13300.46644
"209","CAN","Canada",2040,14686.1255
"210","CAN","Canada",2050,16164.03399
"211","CHE","Switzerland",2000,2333.433621
"212","CHE","Switzerland",2010,2614.23103
"213","CHE","Switzerland",2020,2945.745927
"214","CHE","Switzerland",2030,3305.967859
"215","CHE","Switzerland",2040,3690.356755
"216","CHE","Switzerland",2050,4097.508964
"217","CHL","Chile",2000,1787.989422
"218","CHL","Chile",2010,1980.981198
"219","CHL","Chile",2020,2158.200245
"220","CHL","Chile",2030,2349.377074
"221","CHL","Chile",2040,2557.663566
"222","CHL","Chile",2050,2781.772095
"223","CHN","China",2000,73492.17162
"224","CHN","China",2010,99450.59905
"225","CHN","China",2020,131437.6292
"226","CHN","China",2030,170607.1282
"227","CHN","China",2040,200098.7334
"228","CHN","China",2050,229800.22
"229","CIV","Ivory Coast",2000,1944.832323
"230","CIV","Ivory Coast",2010,2532.536882
"231","CIV","Ivory Coast",2020,3082.869077
"232","CIV","Ivory Coast",2030,3509.994763
"233","CIV","Ivory Coast",2040,3951.293783
"234","CIV","Ivory Coast",2050,4435.578728
"235","CMR","Cameroon",2000,1102.8061
"236","CMR","Cameroon",2010,1363.801489
"237","CMR","Cameroon",2020,1584.065257
"238","CMR","Cameroon",2030,1792.406118
"239","CMR","Cameroon",2040,2006.182308
"240","CMR","Cameroon",2050,2232.602058
"241","COD","Congo, Democratic Republic",2000,3208.013939
"242","COD","Congo, Democratic Republic",2010,4179.405534
"243","COD","Congo, Democratic Republic",2020,5479.681855
"244","COD","Congo, Democratic Republic",2030,6860.083106
"245","COD","Congo, Democratic Republic",2040,8333.437453
"246","COD","Congo, Democratic Republic",2050,9830.727209
"247","COG","Congo",2000,311.554941
"248","COG","Congo",2010,392.1419963
"249","COG","Congo",2020,449.2837865
"250","COG","Congo",2030,505.2658462
"251","COG","Congo",2040,564.7974985
"252","COG","Congo",2050,628.7159439
"253","COK","Cook Islands",2000,0
"254","COK","Cook Islands",2010,0
"255","COK","Cook Islands",2020,0
"256","COK","Cook Islands",2030,0
"257","COK","Cook Islands",2040,0
"258","COK","Cook Islands",2050,0
"259","COL","Colombia",2000,2133.744448
"260","COL","Colombia",2010,2406.9448
"261","COL","Colombia",2020,2687.051183
"262","COL","Colombia",2030,2988.384584
"263","COL","Colombia",2040,3306.365317
"264","COL","Colombia",2050,3644.60871
"265","COM","Comoros",2000,22.64103481
"266","COM","Comoros",2010,26.49026196
"267","COM","Comoros",2020,34.45204347
"268","COM","Comoros",2030,43.68238818
"269","COM","Comoros",2040,53.28451276
"270","COM","Comoros",2050,62.83747204
"271","CPV","Cape Verde",2000,14.03886683
"272","CPV","Cape Verde",2010,15.89107268
"273","CPV","Cape Verde",2020,18.12442782
"274","CPV","Cape Verde",2030,20.54703113
"275","CPV","Cape Verde",2040,23.16350452
"276","CPV","Cape Verde",2050,25.98117909
"277","CRI","Costa Rica",2000,534.2547552
"278","CRI","Costa Rica",2010,611.7490144
"279","CRI","Costa Rica",2020,695.2296723
"280","CRI","Costa Rica",2030,785.7270174
"281","CRI","Costa Rica",2040,883.7536788
"282","CRI","Costa Rica",2050,989.4848087
"283","CUB","Cuba",2000,754.8725094
"284","CUB","Cuba",2010,831.2817292
"285","CUB","Cuba",2020,929.6229509
"286","CUB","Cuba",2030,1038.405065
"287","CUB","Cuba",2040,1155.374877
"288","CUB","Cuba",2050,1279.552115
"289","CYM","Cayman Islands",2000,7.698996259
"290","CYM","Cayman Islands",2010,8.363709856
"291","CYM","Cayman Islands",2020,8.858449246
"292","CYM","Cayman Islands",2030,9.434010715
"293","CYM","Cayman Islands",2040,10.1284196
"294","CYM","Cayman Islands",2050,10.92238589
"295","CYP","Cyprus",2000,241.9316319
"296","CYP","Cyprus",2010,275.6751297
"297","CYP","Cyprus",2020,313.8174736
"298","CYP","Cyprus",2030,353.9085136
"299","CYP","Cyprus",2040,396.5143304
"300","CYP","Cyprus",2050,442.2973471
"301","CZE","Czech Republic",2000,3346.173436
"302","CZE","Czech Republic",2010,3717.434407
"303","CZE","Czech Republic",2020,4168.186588
"304","CZE","Czech Republic",2030,4654.12483
"305","CZE","Czech Republic",2040,5176.260161
"306","CZE","Czech Republic",2050,5741.118808
"307","DEU","Germany",2000,24220.10292
"308","DEU","Germany",2010,27221.36345
"309","DEU","Germany",2020,30717.20086
"310","DEU","Germany",2030,34542.86045
"311","DEU","Germany",2040,38615.35754
"312","DEU","Germany",2050,42949.27569
"313","DJI","Djibouti",2000,13.73764185
"314","DJI","Djibouti",2010,15.9785094
"315","DJI","Djibouti",2020,17.80718136
"316","DJI","Djibouti",2030,19.52800792
"317","DJI","Djibouti",2040,21.32812816
"318","DJI","Djibouti",2050,23.27053576
"319","DMA","Commonwealth of Dominica",2000,4.037981905
"320","DMA","Commonwealth of Dominica",2010,4.852962409
"321","DMA","Commonwealth of Dominica",2020,5.245136545
"322","DMA","Commonwealth of Dominica",2030,5.608359061
"323","DMA","Commonwealth of Dominica",2040,6.027906498
"324","DMA","Commonwealth of Dominica",2050,6.501109643
"325","DNK","Denmark",2000,1777.556943
"326","DNK","Denmark",2010,1972.47403
"327","DNK","Denmark",2020,2178.747642
"328","DNK","Denmark",2030,2398.74699
"329","DNK","Denmark",2040,2633.252983
"330","DNK","Denmark",2050,2882.676866
"331","DOM","Dominican Republic",2000,689.9693699
"332","DOM","Dominican Republic",2010,799.3905516
"333","DOM","Dominican Republic",2020,903.4684934
"334","DOM","Dominican Republic",2030,1013.836789
"335","DOM","Dominican Republic",2040,1132.651973
"336","DOM","Dominican Republic",2050,1260.808008
"337","DZA","Algeria",2000,2484.449993
"338","DZA","Algeria",2010,2899.717037
"339","DZA","Algeria",2020,3304.213504
"340","DZA","Algeria",2030,3725.176753
"341","DZA","Algeria",2040,4191.777668
"342","DZA","Algeria",2050,4691.384838
"343","ECU","Ecuador",2000,891.6851567
"344","ECU","Ecuador",2010,1016.870293
"345","ECU","Ecuador",2020,1152.268652
"346","ECU","Ecuador",2030,1297.734661
"347","ECU","Ecuador",2040,1454.180066
"348","ECU","Ecuador",2050,1621.644549
"349","EGY","Egypt",2000,4573.955128
"350","EGY","Egypt",2010,5322.373878
"351","EGY","Egypt",2020,6448.592487
"352","EGY","Egypt",2030,7668.264221
"353","EGY","Egypt",2040,8893.456008
"354","EGY","Egypt",2050,10203.44868
"355","ERI","Eritrea",2000,215.0629252
"356","ERI","Eritrea",2010,279.840625
"357","ERI","Eritrea",2020,379.7732393
"358","ERI","Eritrea",2030,509.9854409
"359","ERI","Eritrea",2040,662.1815551
"360","ERI","Eritrea",2050,828.4501779
"361","ESP","Spain",2000,7719.083427
"362","ESP","Spain",2010,8760.149552
"363","ESP","Spain",2020,9857.42264
"364","ESP","Spain",2030,11023.13897
"365","ESP","Spain",2040,12260.66909
"366","ESP","Spain",2050,13579.0301
"367","EST","Estonia",2000,172.1408836
"368","EST","Estonia",2010,192.1379916
"369","EST","Estonia",2020,216.0136397
"370","EST","Estonia",2030,242.9532756
"371","EST","Estonia",2040,272.2899838
"372","EST","Estonia",2050,304.3547288
"373","ETH","Ethiopia",2000,1086.067569
"374","ETH","Ethiopia",2010,1508.904611
"375","ETH","Ethiopia",2020,2093.440135
"376","ETH","Ethiopia",2030,2863.184072
"377","ETH","Ethiopia",2040,3821.751587
"378","ETH","Ethiopia",2050,4943.236617
"379","FIN","Finland",2000,644.2823902
"380","FIN","Finland",2010,722.1074035
"381","FIN","Finland",2020,799.7448873
"382","FIN","Finland",2030,882.6019276
"383","FIN","Finland",2040,970.7501037
"384","FIN","Finland",2050,1065.032199
"385","FJI","Fiji",2000,17.81864083
"386","FJI","Fiji",2010,19.93741311
"387","FJI","Fiji",2020,22.87423975
"388","FJI","Fiji",2030,26.36858629
"389","FJI","Fiji",2040,30.11704252
"390","FJI","Fiji",2050,34.12650998
"391","FLK","Falkland Islands",2000,0
"392","FLK","Falkland Islands",2010,0
"393","FLK","Falkland Islands",2020,0
"394","FLK","Falkland Islands",2030,0
"395","FLK","Falkland Islands",2040,0
"396","FLK","Falkland Islands",2050,0
"397","FRA","France",2000,19078.99155
"398","FRA","France",2010,21750.86364
"399","FRA","France",2020,24187.41466
"400","FRA","France",2030,26682.89288
"401","FRA","France",2040,29321.11919
"402","FRA","France",2050,32148.74659
"403","FRO","Faeroe Islands",2000,0
"404","FRO","Faeroe Islands",2010,0
"405","FRO","Faeroe Islands",2020,0
"406","FRO","Faeroe Islands",2030,0
"407","FRO","Faeroe Islands",2040,0
"408","FRO","Faeroe Islands",2050,0
"409","FSM","Federated State of Micronesia",2000,4.167914898
"410","FSM","Federated State of Micronesia",2010,4.828159104
"411","FSM","Federated State of Micronesia",2020,5.993203662
"412","FSM","Federated State of Micronesia",2030,7.522074222
"413","FSM","Federated State of Micronesia",2040,9.355249154
"414","FSM","Federated State of Micronesia",2050,11.39651856
"415","GAB","Gabon",2000,264.0102676
"416","GAB","Gabon",2010,305.8974182
"417","GAB","Gabon",2020,339.1043568
"418","GAB","Gabon",2030,371.3163391
"419","GAB","Gabon",2040,405.3353859
"420","GAB","Gabon",2050,442.014387
"421","GBR","United Kingdom",2000,12891.753
"422","GBR","United Kingdom",2010,14269.43756
"423","GBR","United Kingdom",2020,15911.9821
"424","GBR","United Kingdom",2030,17662.43994
"425","GBR","United Kingdom",2040,19522.00193
"426","GBR","United Kingdom",2050,21503.07595
"427","GEO","Georgia",2000,797.670596
"428","GEO","Georgia",2010,842.3161349
"429","GEO","Georgia",2020,911.2017791
"430","GEO","Georgia",2030,1039.994615
"431","GEO","Georgia",2040,1189.50904
"432","GEO","Georgia",2050,1354.548281
"433","GGY","Guernsey",2000,17.20539302
"434","GGY","Guernsey",2010,20.65681892
"435","GGY","Guernsey",2020,25.76140336
"436","GGY","Guernsey",2030,32.60343759
"437","GGY","Guernsey",2040,41.72036697
"438","GGY","Guernsey",2050,53.62167505
"439","GHA","Ghana",2000,2823.75659
"440","GHA","Ghana",2010,3711.918805
"441","GHA","Ghana",2020,4502.493962
"442","GHA","Ghana",2030,5174.847328
"443","GHA","Ghana",2040,5864.447585
"444","GHA","Ghana",2050,6597.627606
"445","GIB","Gibraltar",2000,0.16669131
"446","GIB","Gibraltar",2010,0.177977396
"447","GIB","Gibraltar",2020,0.189126674
"448","GIB","Gibraltar",2030,0.202050543
"449","GIB","Gibraltar",2040,0.217408958
"450","GIB","Gibraltar",2050,0.234694367
"451","GIN","Guinea",2000,668.3853575
"452","GIN","Guinea",2010,981.2534155
"453","GIN","Guinea",2020,1257.345006
"454","GIN","Guinea",2030,1515.302694
"455","GIN","Guinea",2040,1771.291032
"456","GIN","Guinea",2050,2018.913121
"457","GLP","Guadeloupe",2000,54.73207048
"458","GLP","Guadeloupe",2010,59.85509953
"459","GLP","Guadeloupe",2020,63.86634092
"460","GLP","Guadeloupe",2030,68.18823187
"461","GLP","Guadeloupe",2040,73.22602629
"462","GLP","Guadeloupe",2050,78.92297921
"463","GMB","Gambia",2000,153.2566534
"464","GMB","Gambia",2010,204.8086689
"465","GMB","Gambia",2020,240.7318997
"466","GMB","Gambia",2030,272.6878048
"467","GMB","Gambia",2040,304.9864879
"468","GMB","Gambia",2050,339.0350976
"469","GNB","Guinea-Bissau",2000,63.94935148
"470","GNB","Guinea-Bissau",2010,85.01876121
"471","GNB","Guinea-Bissau",2020,110.5508937
"472","GNB","Guinea-Bissau",2030,139.0865913
"473","GNB","Guinea-Bissau",2040,168.3130026
"474","GNB","Guinea-Bissau",2050,196.9002432
"475","GNQ","Equatorial Guinea",2000,50.48308075
"476","GNQ","Equatorial Guinea",2010,60.98343092
"477","GNQ","Equatorial Guinea",2020,76.67229895
"478","GNQ","Equatorial Guinea",2030,94.64087732
"479","GNQ","Equatorial Guinea",2040,113.3921937
"480","GNQ","Equatorial Guinea",2050,132.0446664
"481","GRC","Greece",2000,2037.746122
"482","GRC","Greece",2010,2320.933059
"483","GRC","Greece",2020,2684.354545
"484","GRC","Greece",2030,3070.448985
"485","GRC","Greece",2040,3482.211309
"486","GRC","Greece",2050,3923.995091
"487","GRD","Grenada",2000,9.825405317
"488","GRD","Grenada",2010,11.53234169
"489","GRD","Grenada",2020,13.58855817
"490","GRD","Grenada",2030,15.88429946
"491","GRD","Grenada",2040,18.28376038
"492","GRD","Grenada",2050,21.2177294
"493","GRL","Greenland",2000,0.367710423
"494","GRL","Greenland",2010,0.444962399
"495","GRL","Greenland",2020,0.555406074
"496","GRL","Greenland",2030,0.70420108
"497","GRL","Greenland",2040,0.898427985
"498","GRL","Greenland",2050,1.151980501
"499","GTM","Guatemala",2000,951.0300805
"500","GTM","Guatemala",2010,1136.900236
"501","GTM","Guatemala",2020,1371.845243
"502","GTM","Guatemala",2030,1591.706276
"503","GTM","Guatemala",2040,1819.921414
"504","GTM","Guatemala",2050,2063.152609
"505","GUF","French Guiana",2000,30.84564842
"506","GUF","French Guiana",2010,33.96900212
"507","GUF","French Guiana",2020,37.09406791
"508","GUF","French Guiana",2030,40.67814899
"509","GUF","French Guiana",2040,44.78478517
"510","GUF","French Guiana",2050,49.30345124
"511","GUM","Guam",2000,15.03093405
"512","GUM","Guam",2010,16.07564176
"513","GUM","Guam",2020,17.17930568
"514","GUM","Guam",2030,18.39034418
"515","GUM","Guam",2040,19.79913881
"516","GUM","Guam",2050,21.38666136
"517","GUY","Guyana",2000,164.3908427
"518","GUY","Guyana",2010,201.7431964
"519","GUY","Guyana",2020,253.2609848
"520","GUY","Guyana",2030,314.2183517
"521","GUY","Guyana",2040,380.3073989
"522","GUY","Guyana",2050,446.0233842
"523","HKG","Hong Kong",2000,79.586612
"524","HKG","Hong Kong",2010,85.45203816
"525","HKG","Hong Kong",2020,91.57625105
"526","HKG","Hong Kong",2030,98.52623634
"527","HKG","Hong Kong",2040,106.2359411
"528","HKG","Hong Kong",2050,114.7849513
"529","HND","Honduras",2000,468.2518507
"530","HND","Honduras",2010,608.3034256
"531","HND","Honduras",2020,743.6175207
"532","HND","Honduras",2030,862.2525583
"533","HND","Honduras",2040,983.0173743
"534","HND","Honduras",2050,1110.922078
"535","HRV","Croatia",2000,1041.601365
"536","HRV","Croatia",2010,1192.337953
"537","HRV","Croatia",2020,1385.650303
"538","HRV","Croatia",2030,1595.131818
"539","HRV","Croatia",2040,1820.235616
"540","HRV","Croatia",2050,2064.135797
"541","HTI","Haiti",2000,380.8522472
"542","HTI","Haiti",2010,510.1905891
"543","HTI","Haiti",2020,624.6609453
"544","HTI","Haiti",2030,718.0530786
"545","HTI","Haiti",2040,808.5290472
"546","HTI","Haiti",2050,902.216834
"547","HUN","Hungary",2000,3075.020661
"548","HUN","Hungary",2010,3497.882566
"549","HUN","Hungary",2020,3986.26562
"550","HUN","Hungary",2030,4510.194265
"551","HUN","Hungary",2040,5075.876447
"552","HUN","Hungary",2050,5690.295276
"553","IDN","Indonesia",2000,15512.85635
"554","IDN","Indonesia",2010,18926.51491
"555","IDN","Indonesia",2020,23005.55603
"556","IDN","Indonesia",2030,27252.84959
"557","IDN","Indonesia",2040,31531.80485
"558","IDN","Indonesia",2050,36181.65088
"559","IMN","Isle of Man",2000,18.93511843
"560","IMN","Isle of Man",2010,24.14047736
"561","IMN","Isle of Man",2020,26.32508734
"562","IMN","Isle of Man",2030,28.18195657
"563","IMN","Isle of Man",2040,30.26124832
"564","IMN","Isle of Man",2050,32.59527189
"565","IND","India",2000,21631.28947
"566","IND","India",2010,28081.49781
"567","IND","India",2020,36821.55855
"568","IND","India",2030,47565.36216
"569","IND","India",2040,60179.82037
"570","IND","India",2050,74401.71963
"571","IRL","Ireland",2000,848.7706256
"572","IRL","Ireland",2010,991.0800719
"573","IRL","Ireland",2020,1143.790215
"574","IRL","Ireland",2030,1305.979338
"575","IRL","Ireland",2040,1478.943041
"576","IRL","Ireland",2050,1664.829589
"577","IRN","Iran",2000,3837.439949
"578","IRN","Iran",2010,4383.824472
"579","IRN","Iran",2020,4975.553168
"580","IRN","Iran",2030,5581.051853
"581","IRN","Iran",2040,6223.279355
"582","IRN","Iran",2050,6921.838375
"583","IRQ","Iraq",2000,1515.53484
"584","IRQ","Iraq",2010,1749.08445
"585","IRQ","Iraq",2020,1935.135878
"586","IRQ","Iraq",2030,2163.395636
"587","IRQ","Iraq",2040,2416.496334
"588","IRQ","Iraq",2050,2693.961529
"589","ISL","Iceland",2000,23.55975631
"590","ISL","Iceland",2010,26.48445946
"591","ISL","Iceland",2020,28.96252891
"592","ISL","Iceland",2030,31.35650651
"593","ISL","Iceland",2040,33.8663083
"594","ISL","Iceland",2050,36.57385926
"595","ISR","Israel",2000,1175.362199
"596","ISR","Israel",2010,1309.749368
"597","ISR","Israel",2020,1422.760201
"598","ISR","Israel",2030,1542.959658
"599","ISR","Israel",2040,1674.878028
"600","ISR","Israel",2050,1819.770331
"601","ITA","Italy",2000,13796.58064
"602","ITA","Italy",2010,15706.99945
"603","ITA","Italy",2020,17914.60619
"604","ITA","Italy",2030,20320.1372
"605","ITA","Italy",2040,22926.86757
"606","ITA","Italy",2050,25741.66701
"607","JAM","Jamaica",2000,389.1973109
"608","JAM","Jamaica",2010,456.5748021
"609","JAM","Jamaica",2020,533.0054445
"610","JAM","Jamaica",2030,618.3623246
"611","JAM","Jamaica",2040,710.0933455
"612","JAM","Jamaica",2050,808.0929338
"613","JEY","Jersey",2000,17.69595218
"614","JEY","Jersey",2010,21.60306971
"615","JEY","Jersey",2020,27.08400159
"616","JEY","Jersey",2030,34.33498369
"617","JEY","Jersey",2040,43.95981385
"618","JEY","Jersey",2050,56.5099444
"619","JOR","Jordan",2000,556.7664288
"620","JOR","Jordan",2010,621.9942026
"621","JOR","Jordan",2020,687.9454612
"622","JOR","Jordan",2030,750.3110795
"623","JOR","Jordan",2040,815.7012741
"624","JOR","Jordan",2050,887.1176606
"625","JPN","Japan",2000,24836.2514
"626","JPN","Japan",2010,28046.39668
"627","JPN","Japan",2020,32030.24785
"628","JPN","Japan",2030,36434.12868
"629","JPN","Japan",2040,41250.71924
"630","JPN","Japan",2050,46466.54512
"631","KAZ","Kazakhstan",2000,1726.325682
"632","KAZ","Kazakhstan",2010,1931.40564
"633","KAZ","Kazakhstan",2020,2199.017243
"634","KAZ","Kazakhstan",2030,2490.188207
"635","KAZ","Kazakhstan",2040,2817.825798
"636","KAZ","Kazakhstan",2050,3184.880563
"637","KEN","Kenya",2000,311.1326023
"638","KEN","Kenya",2010,477.4641554
"639","KEN","Kenya",2020,709.0108953
"640","KEN","Kenya",2030,1004.158021
