Country,iso3c,year,urb_land_2.1,density_2.2,Embodied_Building_4.1,Average_4.2,Construction_5.1,Const_Import_5.2,Ratio_5.3
Aruba,ABW,2020,42.09747687,1104.8405619089542,128169407.90132456,25.002830297998802,45942.09451993825,33920.64718439133,0.5752631770397585
Aruba,ABW,2021,42.757572184000004,1095.665577044401,135133419.3134604,25.0028302979988,48438.33192770245,35763.7061324439,0.5752631770397585
Aruba,ABW,2022,43.417667498,1087.1150552289394,142475816.2993651,25.002830297998795,51070.200966132,37706.906633442995,0.5752631770397585
Aruba,ABW,2023,44.077762812,1079.1382539735057,150217158.22259566,25.002830297998802,53845.071102241454,39755.689821345404,0.5752631770397585
Aruba,ABW,2024,44.737858126,1071.687425557285,158379121.52795905,25.0028302979988,56770.71221881712,41915.79247100678,0.5752631770397585
Aruba,ABW,2025,45.39795344,1064.8057090037846,166984560.43748346,25.0028302979988,59855.31637077904,44193.26306166084,0.5752631770397585
Aruba,ABW,2026,46.058048754000005,1058.3817881726147,169887979.87396088,25.0028302979988,60896.041863436105,44961.66691048628,0.5752631770397585
Aruba,ABW,2027,46.718144068,1052.3320431659574,172841882.08801985,25.002830297998802,61954.86281722743,45743.431267995256,0.5752631770397585
Aruba,ABW,2028,47.378239382000004,1046.725261362098,175847144.84151605,25.002830297998802,63032.09386431684,46538.78843806364,0.5752631770397585
Aruba,ABW,2029,48.038334696,1041.5223657652332,178904661.15826005,25.002830297998802,64128.05510748846,47347.97476371664,0.5752631770397585
Aruba,ABW,2030,48.69843001,1036.5837253815812,183352158.37567276,25.002830297998802,65722.25251297888,48525.02618679541,0.5752631770397585
Aruba,ABW,2031,49.40416484,1030.884747570201,186746862.29763192,25.0028302979988,66939.07804883474,49423.45082585514,0.5752631770397585
Aruba,ABW,2032,50.109899670000004,1025.485988565341,190204418.0279356,25.002830297998802,68178.43270273044,50338.5094967846,0.5752631770397585
Aruba,ABW,2033,50.8156345,1020.256866024176,193725989.24680528,25.002830297998802,69440.73359375556,51270.510173123446,0.5752631770397585
Aruba,ABW,2034,51.52136933,1015.2292277981658,197312761.1796128,25.0028302979988,70726.40556382014,52219.76653043853,0.5752631770397585
Aruba,ABW,2035,52.227104159999996,1010.3566117382834,201118574.57758915,25.0028302979988,72090.592554445,53226.993259782364,0.5752631770397585
Aruba,ABW,2036,52.93283899,1005.5383579568703,204944342.5608726,25.0028302979988,73461.9322304048,54239.50106562483,0.5752631770397585
Aruba,ABW,2037,53.63857382,1000.9214670801254,208842886.02346063,25.002830297998802,74859.35814647203,55271.269250348545,0.5752631770397585
Aruba,ABW,2038,54.344308649999995,996.0196632292608,212815589.33325273,25.0028302979988,76283.36652683886,56322.66419354332,0.5752631770397585
Aruba,ABW,2039,55.05004348,990.9165652124931,216863863.19221777,25.0028302979988,77734.46303509736,57394.05924423646,0.5752631770397585
Aruba,ABW,2040,55.75577831,985.5839460166618,221143153.86662066,25.002830297998802,79268.36710675432,58526.59400071772,0.5752631770397585
Aruba,ABW,2041,56.506274358999995,979.2894794025011,225420260.5063764,25.0028302979988,80801.48831510691,59658.55074197746,0.5752631770397585
Aruba,ABW,2042,57.256770407999994,972.7932540221943,229780090.21889284,25.0028302979988,82364.26146061035,60812.40054033303,0.5752631770397585
Aruba,ABW,2043,58.007266457,966.2410146761245,234224242.94247964,25.0028302979988,83957.26003828387,61988.56682711496,0.5752631770397585
Aruba,ABW,2044,58.757762506,959.6689457710713,238754349.5596859,25.0028302979988,85581.06863505383,63187.48122319482,0.5752631770397585
Aruba,ABW,2045,59.508258555,952.9769712146133,243527135.4700877,25.002830297998795,87291.86518946973,64450.62185561481,0.5752631770397585
Aruba,ABW,2046,60.258754603999996,946.3023319140219,248368128.42570302,25.002830297998802,89027.11043698195,65731.81380897058,0.5752631770397585
Aruba,ABW,2047,61.009250652999995,939.5952152574295,253305353.83094272,25.0028302979988,90796.85003356646,67038.47414066132,0.5752631770397585
Aruba,ABW,2048,61.759746702,933.0025312123568,258340724.65788636,25.002830297998795,92601.7696806361,68371.10912790282,0.5752631770397585
Aruba,ABW,2049,62.510242751,926.5681502904328,263476191.90593347,25.002830297998802,94442.56871042853,69730.23511202309,0.5752631770397585
Aruba,ABW,2050,63.2607388,920.2232080160278,268868011.49637616,25.0028302979988,96375.25677784382,71157.20597038974,0.5752631770397585
Afghanistan,AFG,2020,1341.393518,7383.617758021699,994904916.3910024,9.099902229200298,182486.44592242935,502089.03517594724,0.2665687728541438
Afghanistan,AFG,2021,1387.7667064,7378.534124487482,1032909066.0057254,9.0999022292003,189457.20471478964,521268.22154679766,0.2665687728541438
Afghanistan,AFG,2022,1434.1398948,7382.531535723372,1072364927.6023102,9.099902229200298,196694.237957812,541180.029353444,0.2665687728541438
Afghanistan,AFG,2023,1480.5130832,7394.770856287695,1113327954.800945,9.0999022292003,204207.71700947732,561852.4438376895,0.2665687728541438
Afghanistan,AFG,2024,1526.8862716,7414.12193596934,1155855719.482208,9.099902229200298,212008.2017611871,583314.5192433089,0.2665687728541438
Afghanistan,AFG,2025,1573.25946,7439.737880234961,1200007992.7020252,9.099902229200298,220106.6554792648,605596.4196506144,0.2665687728541438
Afghanistan,AFG,2026,1619.6326484,7471.370753086629,1275787062.5070622,9.0999022292003,234006.12757574618,643839.1093972481,0.2665687728541438
Afghanistan,AFG,2027,1666.0058368,7509.0049048260335,1356351489.9559145,9.0999022292003,248783.33471454226,684496.7792719034,0.2665687728541438
Afghanistan,AFG,2028,1712.3790252,7552.323877880679,1442003464.6616004,9.0999022292003,264493.70481400576,727721.9323819029,0.2665687728541438
Afghanistan,AFG,2029,1758.7522136,7601.020710379847,1533064259.1498508,9.0999022292003,281196.1659992542,773676.7022234387,0.2665687728541438
Afghanistan,AFG,2030,1805.125402,7654.812781810269,1642604084.5153406,9.0999022292003,301288.06934457435,828957.1057323562,0.2665687728541438
Afghanistan,AFG,2031,1859.8316516999998,7678.897703964698,1751849302.3451943,9.099902229200298,321325.9354836907,884088.8325075619,0.2665687728541438
Afghanistan,AFG,2032,1914.5379014,7709.029938350846,1868360128.322013,9.0999022292003,342696.4666708542,942887.2234276276,0.2665687728541438
Afghanistan,AFG,2033,1969.2441511,7744.795886015822,1992619778.6706703,9.0999022292003,365488.2949049994,1005596.1385480537,0.2665687728541438
Afghanistan,AFG,2034,2023.9504008,7785.795538157143,2125143607.0387094,9.0999022292003,389795.9468629812,1072475.6564064028,0.2665687728541438
Afghanistan,AFG,2035,2078.6566505,7831.6608931466235,2272066297.07167,9.0999022292003,416744.6522998137,1146621.7084248178,0.2665687728541438
Afghanistan,AFG,2036,2133.3629002,7882.049977724649,2425869510.2218566,9.0999022292003,444955.3901068394,1224240.0874530992,0.2665687728541438
Afghanistan,AFG,2037,2188.0691499,7936.625312227296,2590084139.8020163,9.0999022292003,475075.80023533304,1307112.6952463798,0.2665687728541438
Afghanistan,AFG,2038,2242.7753996,7995.012787815492,2765414966.8752904,9.0999022292003,507235.15432648064,1395595.2068427184,0.2665687728541438
Afghanistan,AFG,2039,2297.4816493,8056.824308320277,2952614481.320453,9.0999022292003,541571.4748197212,1490067.3740264198,0.2665687728541438
Afghanistan,AFG,2040,2352.187899,8121.645812446211,3158062265.458745,9.0999022292003,579254.9110279116,1593748.7188640924,0.2665687728541438
Afghanistan,AFG,2041,2413.3227737,8167.221233229934,3369421223.4416466,9.0999022292003,618022.5806018848,1700413.1985958647,0.2665687728541438
