Country.Name,iso3c,year,total_building_stock_m2,Construction Comparative,Total_Cost,Construction_Intensity,Building_Intensity,Embodied_Carbon_Buildings,Embodied_Carbon_Construction
Afghanistan,AFG,2035,341048390.86,637.51,217421759657.1586,576581.4669,14274132.53,3103507012.2520895,125361357.11910374
Afghanistan,AFG,2036,364135014.001928,637.51,232139712776.3691,576581.4669,14274132.53,3313593025.646027,133847456.11834358
Afghanistan,AFG,2037,388784442.254161,637.51,247853969781.45016,576581.4669,14274132.53,3537900412.7470345,142908005.4735768
Afghanistan,AFG,2038,415102466.740753,637.51,264631973571.89743,576581.4669,14274132.53,3777391862.440721,152581891.51072666
Afghanistan,AFG,2039,443202039.914995,637.51,282545732466.2085,576581.4669,14274132.53,4033095231.008584,162910632.89170146
Afghanistan,AFG,2040,473203760.332,637.51,301672129249.25336,576581.4669,14274132.53,4306107953.511132,173938558.80538088
Afghanistan,AFG,2041,504873767.219224,637.51,321862075339.9275,576581.4669,14274132.53,4594301919.782969,185579707.53897372
Afghanistan,AFG,2042,538663345.885703,637.51,343403269635.5945,576581.4669,14274132.53,4901783782.013801,197999960.94474733
Afghanistan,AFG,2043,574714352.4587,637.51,366386146835.9458,576581.4669,14274132.53,5229844417.09233,211251461.99450842
Afghanistan,AFG,2044,613178137.040174,637.51,390907194144.4813,576581.4669,14274132.53,5579861096.1487665,225389843.42158812
Afghanistan,AFG,2045,654216179.108,637.51,417069356343.1411,576581.4669,14274132.53,5953303266.643792,240474461.27936712
Afghanistan,AFG,2046,696597584.591437,637.51,444087926152.88696,576581.4669,14274132.53,6338969912.879161,256052867.89381042
Afghanistan,AFG,2047,741724540.533745,637.51,472856811835.6678,576581.4669,14274132.53,6749620799.855594,272640474.2018666
Afghanistan,AFG,2048,789774909.071309,637.51,503489402282.0502,576581.4669,14274132.53,7186874455.624468,290302658.13638866
Afghanistan,AFG,2049,840938074.598081,637.51,536106431937.0226,576581.4669,14274132.53,7652454259.654485,309109032.9407735
Afghanistan,AFG,2050,895415690.2,637.51,570836456659.402,576581.4669,14274132.53,8148195235.311905,329133721.5406763
Albania,ALB,2050,154476477.424,618.3299999999999,95517440285.58191,429531.0633,4688629.699,447845907.29543835,41027707.68956025
Albania,ALB,2049,152161181.711218,618.3299999999999,94085823487.49742,429531.0633,4688629.699,441133586.2583521,40412783.80404088
Albania,ALB,2048,149880587.684588,618.3299999999999,92675663783.01128,429531.0633,4688629.699,434521869.58756536,39807076.40675013
Albania,ALB,2047,147634175.234731,618.3299999999999,91286639572.8912,429531.0633,4688629.699,428009249.42336637,39210447.36082781
Albania,ALB,2046,145421432.04767,618.3299999999999,89918434078.03578,429531.0633,4688629.699,421594240.5058523,38622760.59980967
Albania,ALB,2045,143241853.488,618.3299999999999,88570735267.23503,429531.0633,4688629.699,415275379.83622485,38043882.09659827
Albania,ALB,2044,140709236.645507,618.3299999999999,87004742295.01634,429531.0633,4688629.699,407933018.6782551,37371239.47012085
Albania,ALB,2043,138221398.252292,618.3299999999999,85466437181.3397,429531.0633,4688629.699,400720475.63614714,36710489.63896349
Albania,ALB,2042,135777546.593837,618.3299999999999,83955330385.36722,429531.0633,4688629.699,393635455.4341898,36061422.33012958
Albania,ALB,2041,133376903.953698,618.3299999999999,82470941021.69008,429531.0633,4688629.699,386675703.3787735,35423830.98839813
Albania,ALB,2040,131018706.366,618.3299999999999,81012796707.28877,429531.0633,4688629.699,379839004.64084357,34797512.710588485
Albania,ALB,2039,128373346.562746,618.3299999999999,79377091380.14273,429531.0633,4688629.699,372169788.06517416,34094926.462173976
Albania,ALB,2038,125781398.433923,618.3299999999999,77774412093.6476,429531.0633,4688629.699,364655418.3645409,33406525.924116828
Albania,ALB,2037,123241783.560268,618.3299999999999,76204092028.82051,429531.0633,4688629.699,357292769.071657,32732024.676950324
Albania,ALB,2036,120753445.296563,618.3299999999999,74665477830.22379,429531.0633,4688629.699,350078776.8448133,32071142.0842186
Albania,ALB,2035,118315348.332,618.3299999999999,73157929334.12555,429531.0633,4688629.699,343010440.1933243,31423603.175713208
Albania,ALB,2034,115794641.117155,618.3299999999999,71599300441.97044,429531.0633,4688629.699,335702606.4798464,30754123.65037572
Albania,ALB,2033,113327637.542223,618.3299999999999,70073878121.48274,429531.0633,4688629.699,328550466.08449036,30098907.379075088
Albania,ALB,2032,110913193.451737,618.3299999999999,68580954907.012535,429531.0633,4688629.699,321550701.9627988,29457650.48333845
Albania,ALB,2031,108550189.06645,618.3299999999999,67119838405.45802,429531.0633,4688629.699,314700067.7399113,28830055.55882056
Albania,ALB,2030,106237528.464,618.3299999999999,65689850975.14511,429531.0633,4688629.699,307995386.20494944,28215831.53737262
Albania,ALB,2029,103671374.563056,618.3299999999999,64103121033.57441,429531.0633,4688629.699,300555797.0766086,27534281.73839981
Albania,ALB,2028,101167205.781105,618.3299999999999,62554718350.630646,429531.0633,4688629.699,293295910.27134717,26869194.687578402
Albania,ALB,2027,98723524.8755314,618.3299999999999,61043717136.28732,429531.0633,4688629.699,286211385.10255194,26220172.729333922
Albania,ALB,2026,96338870.7694249,618.3299999999999,59569213962.85849,429531.0633,4688629.699,279297985.7323438,25586827.813411813
Albania,ALB,2025,94011817.678,618.3299999999999,58130327224.83774,429531.0633,4688629.699,272551578.63896245,24968781.262861494
Albania,ALB,2024,90387759.0065597,618.3299999999999,55889463026.526054,429531.0633,4688629.699,262044996.2073325,24006260.48104977
Albania,ALB,2023,86903404.0615065,618.3299999999999,53734981833.3513,429531.0633,4688629.699,251943431.69907638,23080843.883285567
Albania,ALB,2022,83553367.4081839,618.3299999999999,51663553669.50235,429531.0633,4688629.699,242231272.09070915,22191101.14151796
Albania,ALB,2021,80332471.2148905,618.3299999999999,49671976926.30323,429531.0633,4688629.699,232893506.22470805,21335657.06536809
Albania,ALB,2020,77235737.25,618.3299999999999,47757173413.792496,429531.0633,4688629.699,223915701.60820073,20513189.47662878
Algeria,DZA,2020,934624797.346,742.02,693510292126.6788,938445.1,15011385,10410549996.576044,650821335.4458504
Algeria,DZA,2021,962609820.029159,742.02,714275738658.0365,938445.1,15011385,10722268109.155169,670308566.9925148
Algeria,DZA,2022,991432784.843535,742.02,735662955009.5997,938445.1,15011385,11043319847.88678,690379295.3802793
Algeria,DZA,2023,1021118781.88905,742.02,757690558537.3129,938445.1,15011385,11373984685.06864,711050991.9756045
Algeria,DZA,2024,1051693652.52645,742.02,780377724047.6764,938445.1,15011385,11714550461.10343,732341651.281694
Algeria,DZA,2025,1083184011.872,742.02,803744200489.2614,938445.1,15011385,12065313635.061491,754269806.6025648
Algeria,DZA,2026,1114671183.56496,742.02,827108311628.8716,938445.1,15011385,12416041302.560968,776195742.2173876
Algeria,DZA,2027,1147073658.63238,742.02,851151596178.3986,938445.1,15011385,12776964303.59847,798759044.7907969
Algeria,DZA,2028,1180418044.10887,742.02,875893797089.6637,938445.1,15011385,13148379007.224821,821978241.9991891
Algeria,DZA,2029,1214731720.47129,742.02,901355231224.1067,938445.1,15011385,13530590397.669088,845872400.10163
Algeria,DZA,2030,1250042864.122,742.02,927556806035.8064,938445.1,15011385,13923912324.773815,870461139.595953
Algeria,DZA,2031,1280553761.19544,742.02,950196501882.2404,938445.1,15011385,14263765515.407536,891707251.2285293
Algeria,DZA,2032,1311809364.60412,742.02,973388784723.5491,938445.1,15011385,14611913802.167313,913471935.4187694
Algeria,DZA,2033,1343827851.05141,742.02,997147142037.1672,938445.1,15011385,14968559650.769602,935767849.4237835
