Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2
Afghanistan,AFG,38972230,2020,8.04,75.438655825,75438655825,8.04,4847292.288557215,1935.7028280136908,1.9357028280136908,75438655.825
Afghanistan,AFG,40099462,2021,8.04,78.32032010816266,78320320108.16266,8.04,4987495.273631841,1953.1513941050546,1.9531513941050547,78320320.10816266
Afghanistan,AFG,41128771,2022,8.04,81.31206043854598,81312060438.54599,8.04,5115518.781094528,1977.0116748333178,1.9770116748333177,81312060.43854599
Afghanistan,AFG,42239854,2023,8.04,84.41808158637338,84418081586.37338,8.04,5253713.184079602,1998.5410363012472,1.9985410363012472,84418081.58637339
Afghanistan,AFG,43372950,2024,8.04,87.64274893894233,87642748938.94234,8.04,5394645.522388061,2020.6776098684165,2.0206776098684167,87642748.93894234
Afghanistan,AFG,44515793,2025,8.04,90.99059463600001,90990594636.00002,8.04,5536790.174129354,2044.0070479256658,2.044007047925666,90990594.63600002
Afghanistan,AFG,45667550,2026,8.04,96.73654188339923,96736541883.39923,8.04,5680043.532338309,2118.2774614228097,2.1182774614228097,96736541.88339923
Afghanistan,AFG,46827624,2027,8.04,102.84533882863778,102845338828.63777,8.04,5824331.3432835825,2196.253622191845,2.1962536221918447,102845338.82863776
Afghanistan,AFG,47990912,2028,8.04,109.33989899624927,109339898996.24927,8.04,5969018.905472637,2278.345929251131,2.278345929251131,109339898.99624926
Afghanistan,AFG,49158072,2029,8.04,116.24458287244234,116244582872.44234,8.04,6114188.059701493,2364.7099681297987,2.3647099681297985,116244582.87244233
Afghanistan,AFG,50330837,2030,8.04,123.58528927900001,123585289279.00002,8.04,6260054.353233832,2455.4586540851687,2.455458654085169,123585289.27900001
Afghanistan,AFG,51506437,2031,8.04,131.80461734175313,131804617341.75313,8.04,6406273.258706468,2558.9931087982873,2.5589931087982873,131804617.34175314
Afghanistan,AFG,52685458,2032,8.04,140.570590997985,140570590997.985,8.04,6552917.661691543,2668.109879541808,2.668109879541808,140570590.997985
Afghanistan,AFG,53866558,2033,8.04,149.91956618854485,149919566188.54486,8.04,6699820.64676617,2783.165877956131,2.7831658779561312,149919566.18854487
Afghanistan,AFG,55046630,2034,8.04,159.89031679096843,159890316790.9684,8.04,6846595.771144279,2904.634067352868,2.904634067352868,159890316.7909684
Afghanistan,AFG,56226855,2035,8.04,170.52419543000002,170524195430.00003,8.04,6993389.925373135,3032.789143728562,3.032789143728562,170524195.43
Afghanistan,AFG,57410144,2036,8.04,182.06750700096384,182067507000.96384,8.04,7140565.174129354,3171.347331944749,3.171347331944749,182067507.00096384
Afghanistan,AFG,58600249,2037,8.04,194.3922211270803,194392221127.0803,8.04,7288588.184079602,3317.2593025514325,3.3172593025514323,194392221.12708026
Afghanistan,AFG,59792941,2038,8.04,207.55123337037637,207551233370.37637,8.04,7436932.960199006,3471.1661594029365,3.4711661594029364,207551233.37037638
Afghanistan,AFG,60985590,2039,8.04,221.60101995749773,221601019957.4977,8.04,7585272.388059703,3633.661984044062,3.6336619840440623,221601019.95749772
Afghanistan,AFG,62180342,2040,8.04,236.601880166,236601880166,8.04,7733873.3830845775,3805.091328799703,3.805091328799703,236601880.16599998
Afghanistan,AFG,63375847,2041,8.04,252.4368836096122,252436883609.6122,8.04,7882568.034825872,3983.171753264492,3.983171753264492,252436883.6096122
Afghanistan,AFG,64572473,2042,8.04,269.3316729428517,269331672942.85168,8.04,8031402.114427862,4170.998266441672,4.170998266441672,269331672.94285166
Afghanistan,AFG,65768823,2043,8.04,287.35717622935,287357176229.35,8.04,8180201.865671643,4369.200528787781,4.369200528787781,287357176.22935
Afghanistan,AFG,66964990,2044,8.04,306.5890685200872,306589068520.0872,8.04,8328978.855721394,4578.348604548246,4.578348604548246,306589068.52008724
Afghanistan,AFG,68161269,2045,8.04,327.108089554,327108089554,8.04,8477769.776119404,4799.03168401985,4.79903168401985,327108089.554
Afghanistan,AFG,69355671,2046,8.04,348.2987922957182,348298792295.7182,8.04,8626327.23880597,5021.922321185793,5.0219223211857935,348298792.29571825
Afghanistan,AFG,70546052,2047,8.04,370.86227026687243,370862270266.87244,8.04,8774384.57711443,5257.02374197882,5.25702374197882,370862270.2668724
Afghanistan,AFG,71729374,2048,8.04,394.8874545356543,394887454535.6543,8.04,8921563.93034826,5505.240496531509,5.505240496531509,394887454.5356543
Afghanistan,AFG,72905780,2049,8.04,420.46903729904056,420469037299.0406,8.04,9067883.084577115,5767.293584939913,5.767293584939913,420469037.2990406
Afghanistan,AFG,74075234,2050,8.04,447.70784510000004,447707845100.00006,8.04,9213337.562189056,6043.961266460529,6.04396126646053,447707845.1000001
Albania,ALB,2375639,2050,3.3,77.23823871200001,77238238712.00002,3.3,719890.6060606061,32512.616063299185,32.512616063299184,77238238.71200001
Albania,ALB,2398146,2049,3.3,76.08059085560882,76080590855.60883,3.3,726710.9090909092,31724.75356196363,31.72475356196363,76080590.85560884
Albania,ALB,2420102,2048,3.3,74.94029384229424,74940293842.29424,3.3,733364.2424242424,30965.758402866588,30.965758402866587,74940293.84229423
Albania,ALB,2441807,2047,3.3,73.81708761736537,73817087617.36537,3.3,739941.5151515151,30230.516833380105,30.230516833380104,73817087.61736538
Albania,ALB,2463223,2046,3.3,72.71071602383485,72710716023.83485,3.3,746431.2121212122,29518.527564834712,29.518527564834713,72710716.02383485
Albania,ALB,2484318,2045,3.3,71.620926744,71620926744,3.3,752823.6363636364,28829.210569661373,28.829210569661374,71620926.744
Albania,ALB,2505011,2044,3.3,70.35461832275344,70354618322.75343,3.3,759094.2424242424,28085.552647374974,28.085552647374975,70354618.32275343
Albania,ALB,2525241,2043,3.3,69.11069912614579,69110699126.14578,3.3,765224.5454545455,27367.961761331208,27.36796176133121,69110699.12614578
Albania,ALB,2544953,2042,3.3,67.88877329691867,67888773296.91867,3.3,771197.8787878788,26675.845603796482,26.675845603796482,67888773.29691868
Albania,ALB,2564075,2041,3.3,66.68845197684877,66688451976.84877,3.3,776992.4242424243,26008.77586531157,26.00877586531157,66688451.976848766
Albania,ALB,2582414,2040,3.3,65.509353183,65509353183,3.3,782549.696969697,25367.4868487392,25.3674868487392,65509353.183
Albania,ALB,2599984,2039,3.3,64.18667328137317,64186673281.37318,3.3,787873.9393939395,24687.333953352474,24.687333953352475,64186673.28137318
Albania,ALB,2616702,2038,3.3,62.89069921696139,62890699216.96139,3.3,792940,24034.33758103192,24.03433758103192,62890699.21696139
Albania,ALB,2632573,2037,3.3,61.620891780133896,61620891780.133896,3.3,797749.393939394,23407.097079600033,23.40709707960003,61620891.780133896
Albania,ALB,2647479,2036,3.3,60.37672264828151,60376722648.28151,3.3,802266.3636363636,22805.364140105175,22.805364140105176,60376722.648281515
Albania,ALB,2661514,2035,3.3,59.15767416600001,59157674166.00001,3.3,806519.393939394,22227.076080005594,22.227076080005595,59157674.16600001
Albania,ALB,2674584,2034,3.3,57.89732055857759,57897320558.57759,3.3,810480,21647.224599630295,21.647224599630295,57897320.5585776
Albania,ALB,2686792,2033,3.3,56.66381877111155,56663818771.11155,3.3,814179.393939394,21089.767563366106,21.089767563366106,56663818.77111155
Albania,ALB,2698115,2032,3.3,55.45659672586851,55456596725.86851,3.3,817610.6060606061,20553.82988711323,20.553829887113228,55456596.72586851
Albania,ALB,2708582,2031,3.3,54.27509453322502,54275094533.22502,3.3,820782.4242424243,20038.195089986206,20.038195089986207,54275094.53322502
Albania,ALB,2718184,2030,3.3,53.118764232000004,53118764232,3.3,823692.1212121212,19542.004600130087,19.542004600130088,53118764.232
