Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",BHS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.812331,,,,,,,,,,177.9448482,,,,,,,,,,,,,,,203.7442433,,,,,,,
Bosnia and Herzegovina,BIH,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.158258,,,,,,,,,,1469.420648,,,,,,,,,,,,,,,1641.927708,,,,,,,
Belarus,BLR,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179.480134,,,,,,,,,,3170.850645,,,,,,,,,,,,,,,2882.60449,,,,,,,
Belize,BLZ,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.20685375,,,,,,,,,,97.08041268,,,,,,,,,,,,,,,122.8998629,,,,,,,
Bermuda,BMU,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36227177,,,,,,,,,,34.09296539,,,,,,,,,,,,,,,41.96724762,,,,,,,
Bolivia,BOL,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.238193,,,,,,,,,,1503.991444,,,,,,,,,,,,,,,1767.519044,,,,,,,
Brazil,BRA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34620.95243,,,,,,,,,,41034.54426,,,,,,,,,,,,,,,45853.33961,,,,,,,
Barbados,BRB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6149328,,,,,,,,,,174.7949531,,,,,,,,,,,,,,,187.5880811,,,,,,,
Brunei Darussalam,BRN,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2252348,,,,,,,,,,164.2445019,,,,,,,,,,,,,,,199.1723685,,,,,,,
Bhutan,BTN,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49908492,,,,,,,,,,14.4204726,,,,,,,,,,,,,,,28.60276837,,,,,,,
