,Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2,total_building_stock_m2,,
38,Albania,ALB,2505011,2044,3.3,70.35461832,70354618323,3.3,759094.2424,28085.55265,28.08555265,70354618.32,140709236.6,,
39,Albania,ALB,2525241,2043,3.3,69.11069913,69110699126,3.3,765224.5455,27367.96176,27.36796176,69110699.13,138221398.3,,
40,Albania,ALB,2544953,2042,3.3,67.8887733,67888773297,3.3,771197.8788,26675.8456,26.6758456,67888773.3,135777546.6,,
41,Albania,ALB,2564075,2041,3.3,66.68845198,66688451977,3.3,776992.4242,26008.77587,26.00877587,66688451.98,133376904,,
42,Albania,ALB,2582414,2040,3.3,65.50935318,65509353183,3.3,782549.697,25367.48685,25.36748685,65509353.18,131018706.4,,
43,Albania,ALB,2599984,2039,3.3,64.18667328,64186673281,3.3,787873.9394,24687.33395,24.68733395,64186673.28,128373346.6,,
44,Albania,ALB,2616702,2038,3.3,62.89069922,62890699217,3.3,792940,24034.33758,24.03433758,62890699.22,125781398.4,,
45,Albania,ALB,2632573,2037,3.3,61.62089178,61620891780,3.3,797749.3939,23407.09708,23.40709708,61620891.78,123241783.6,,
46,Albania,ALB,2647479,2036,3.3,60.37672265,60376722648,3.3,802266.3636,22805.36414,22.80536414,60376722.65,120753445.3,,
47,Albania,ALB,2661514,2035,3.3,59.15767417,59157674166,3.3,806519.3939,22227.07608,22.22707608,59157674.17,118315348.3,,
48,Albania,ALB,2674584,2034,3.3,57.89732056,57897320559,3.3,810480,21647.2246,21.6472246,57897320.56,115794641.1,,
49,Albania,ALB,2686792,2033,3.3,56.66381877,56663818771,3.3,814179.3939,21089.76756,21.08976756,56663818.77,113327637.5,,
50,Albania,ALB,2698115,2032,3.3,55.45659673,55456596726,3.3,817610.6061,20553.82989,20.55382989,55456596.73,110913193.5,,
51,Albania,ALB,2708582,2031,3.3,54.27509453,54275094533,3.3,820782.4242,20038.19509,20.03819509,54275094.53,108550189.1,,
52,Albania,ALB,2718184,2030,3.3,53.11876423,53118764232,3.3,823692.1212,19542.0046,19.5420046,53118764.23,106237528.5,,
53,Albania,ALB,2726912,2029,3.3,51.83568728,51835687282,3.3,826336.9697,19008.93292,19.00893292,51835687.28,103671374.6,,
54,Albania,ALB,2734949,2028,3.3,50.58360289,50583602891,3.3,828772.4242,18495.26367,18.49526367,50583602.89,101167205.8,,
55,Albania,ALB,2742216,2027,3.3,49.36176244,49361762438,3.3,830974.5455,18000.68355,18.00068355,49361762.44,98723524.88,,
56,Albania,ALB,2748885,2026,3.3,48.16943538,48169435385,3.3,832995.4545,17523.26321,17.52326321,48169435.38,96338870.77,,
57,Albania,ALB,2755010,2025,3.3,47.00590884,47005908839,3.3,834851.5152,17061.97395,17.06197395,47005908.84,94011817.68,,
58,Albania,ALB,2760772,2024,3.3,45.1938795,45193879503,3.3,836597.5758,16370.01516,16.37001516,45193879.5,90387759.01,,
